Action,Hour_of_Day,Minutes_of_Hour_of_Day,Win,Profit,Profit_Pct,Outcome
SELL,16,59,1,0.96,0.0489,Win
BUY,2,32,1,0.92,0.0465,Win
SELL,15,43,1,0.89,0.0451,Win
SELL,4,22,0,-0.02,-0.0010,Loss
SELL,14,41,0,-0.01,-0.0005,Loss
SELL,13,23,1,0.91,0.0470,Win
SELL,3,49,0,-0.05,-0.0026,Loss
SELL,5,12,0,-0.01,-0.0005,Loss
BUY,3,11,0,-0.30,-0.0158,Loss
SELL,3,46,1,0.97,0.0513,Win
BUY,2,19,0,-0.34,-0.0180,Loss
SELL,3,50,0,-0.30,-0.0160,Loss
SELL,11,39,1,1.01,0.0541,Win
SELL,17,46,1,1.11,0.0599,Win
SELL,2,42,0,-0.32,-0.0174,Loss
SELL,1,25,1,1.16,0.0637,Win
SELL,10,44,1,1.05,0.0584,Win
BUY,12,7,0,-0.33,-0.0181,Loss
BUY,10,3,0,-0.30,-0.0162,Loss
BUY,1,5,0,-0.31,-0.0168,Loss
BUY,16,46,1,1.07,0.0574,Win
SELL,16,0,1,0.98,0.0530,Win
SELL,14,24,1,1.02,0.0554,Win
BUY,4,51,0,-0.01,-0.0005,Loss
BUY,8,6,0,-0.02,-0.0011,Loss
SELL,3,30,0,-0.25,-0.0135,Loss
SELL,3,2,0,-0.01,-0.0005,Loss
BUY,9,24,0,-0.03,-0.0016,Loss
BUY,2,18,0,-0.04,-0.0021,Loss
SELL,4,35,1,1.01,0.0547,Win
SELL,2,21,1,0.81,0.0440,Win
BUY,16,15,0,-0.03,-0.0016,Loss
SELL,15,5,0,-0.21,-0.0114,Loss
SELL,14,20,0,-0.01,-0.0005,Loss
BUY,14,20,1,0.97,0.0530,Win
BUY,18,22,1,0.98,0.0532,Win
SELL,8,45,0,-0.03,-0.0016,Loss
SELL,3,14,0,-0.01,-0.0005,Loss
SELL,21,18,0,-0.32,-0.0175,Loss
SELL,1,28,0,-0.29,-0.0159,Loss
SELL,14,22,0,-0.31,-0.0170,Loss
SELL,2,30,0,-0.30,-0.0165,Loss
SELL,6,37,0,-0.24,-0.0133,Loss
SELL,11,8,1,0.72,0.0399,Win
SELL,8,39,0,-0.03,-0.0017,Loss
SELL,10,39,1,0.84,0.0484,Win
SELL,20,29,0,-0.24,-0.0138,Loss
SELL,4,1,1,0.78,0.0451,Win
SELL,3,55,0,-0.05,-0.0029,Loss
BUY,6,16,0,-0.25,-0.0146,Loss
SELL,19,44,1,0.90,0.0528,Win
BUY,10,30,0,-0.26,-0.0151,Loss
SELL,15,22,0,-0.24,-0.0140,Loss
SELL,16,56,1,0.85,0.0496,Win
BUY,4,33,0,-0.23,-0.0132,Loss
BUY,6,9,1,0.90,0.0512,Win
BUY,12,37,1,0.87,0.0492,Win
SELL,1,8,0,-0.23,-0.0131,Loss
BUY,8,23,1,0.79,0.0446,Win
BUY,3,51,0,-0.23,-0.0128,Loss
BUY,15,30,1,0.86,0.0478,Win
SELL,4,33,0,-0.22,-0.0123,Loss
BUY,20,4,1,0.79,0.0439,Win
BUY,1,2,0,-0.41,-0.0228,Loss
SELL,15,32,1,0.80,0.0451,Win
SELL,13,28,0,-0.02,-0.0011,Loss
SELL,18,41,1,0.77,0.0438,Win
SELL,3,12,0,-0.26,-0.0148,Loss
SELL,1,5,0,-0.05,-0.0029,Loss
BUY,16,50,0,-0.21,-0.0120,Loss
BUY,18,12,0,-0.22,-0.0125,Loss
BUY,4,27,0,-0.18,-0.0103,Loss
SELL,2,23,1,0.69,0.0398,Win
SELL,4,35,0,-0.23,-0.0134,Loss
SELL,1,20,1,0.74,0.0433,Win
BUY,15,30,1,0.73,0.0427,Win
BUY,3,8,0,-0.19,-0.0111,Loss
SELL,3,19,0,-0.19,-0.0112,Loss
BUY,4,30,0,-0.21,-0.0122,Loss
BUY,10,24,1,0.78,0.0451,Win
BUY,14,36,0,-0.21,-0.0121,Loss
SELL,15,36,1,0.79,0.0461,Win
SELL,21,13,0,-0.01,-0.0006,Loss
SELL,5,54,0,-0.01,-0.0006,Loss
SELL,9,30,0,-0.02,-0.0012,Loss
SELL,12,51,1,0.98,0.0592,Win
SELL,5,6,0,-0.27,-0.0166,Loss
BUY,19,8,1,1.05,0.0632,Win
BUY,2,53,0,-0.32,-0.0192,Loss
BUY,17,6,1,1.00,0.0597,Win
BUY,1,42,0,-0.30,-0.0176,Loss
BUY,14,37,1,1.00,0.0596,Win
SELL,7,51,0,-0.31,-0.0188,Loss
SELL,2,1,0,-0.30,-0.0184,Loss
SELL,6,43,1,0.91,0.0561,Win
SELL,11,55,0,-0.27,-0.0164,Loss
SELL,10,18,0,-0.01,-0.0006,Loss
SELL,1,32,0,-0.27,-0.0165,Loss
BUY,14,3,1,0.90,0.0543,Win
BUY,6,33,1,0.93,0.0567,Win
BUY,16,46,0,-0.29,-0.0172,Loss
SELL,10,52,0,-0.01,-0.0006,Loss
BUY,17,9,1,1.01,0.0588,Win
BUY,15,30,1,1.00,0.0581,Win
BUY,7,29,1,1.12,0.0637,Win
BUY,17,14,1,1.10,0.0620,Win
BUY,9,24,1,1.09,0.0614,Win
SELL,3,48,0,-0.29,-0.0164,Loss
SELL,3,16,1,1.04,0.0595,Win
SELL,5,57,1,0.98,0.0564,Win
BUY,2,3,0,-0.31,-0.0177,Loss
BUY,4,21,0,-0.01,-0.0006,Loss
SELL,3,52,0,-0.22,-0.0126,Loss
BUY,10,50,0,-0.20,-0.0114,Loss
BUY,1,4,1,0.71,0.0401,Win
BUY,16,33,0,-0.01,-0.0006,Loss
BUY,15,33,0,-0.22,-0.0123,Loss
BUY,3,14,0,-0.01,-0.0006,Loss
SELL,4,17,1,0.80,0.0447,Win
BUY,15,30,1,0.83,0.0462,Win
SELL,4,45,0,-0.27,-0.0150,Loss
BUY,2,42,0,-0.25,-0.0139,Loss
BUY,10,40,1,0.92,0.0511,Win
BUY,17,33,0,-0.27,-0.0148,Loss
SELL,15,36,1,0.89,0.0491,Win
BUY,1,34,0,-0.02,-0.0011,Loss
BUY,16,37,0,-0.25,-0.0138,Loss
BUY,8,52,0,-0.27,-0.0148,Loss
BUY,9,11,1,0.84,0.0454,Win
SELL,15,53,0,-0.24,-0.0131,Loss
BUY,17,8,1,0.86,0.0463,Win
BUY,1,38,0,-0.28,-0.0150,Loss
BUY,7,32,0,-0.02,-0.0011,Loss
BUY,14,21,1,0.87,0.0461,Win
BUY,10,7,0,-0.25,-0.0131,Loss
BUY,1,7,0,-0.34,-0.0177,Loss
